employee_program_id,employee_id,program_id,enrollment_date,completion_date,participation_status,completion_score
EP004653,E01798,P028,2024-05-07,,Enrolled,
EP004654,E02560,P021,2025-02-20,,Withdrawn,
EP004655,E01617,P032,2025-02-12,2025-04-26,Completed,81.72
EP004656,E02459,P016,2024-08-27,,Enrolled,
EP004657,E00124,P009,2024-07-05,2024-10-24,Completed,73.77
EP004658,E03525,P029,2026-05-02,2026-05-25,Completed,84.55
EP004659,E01656,P012,2025-06-12,,Enrolled,
EP004660,E04321,P025,2024-10-01,2024-10-17,Completed,89.23
EP004661,E00707,P028,2024-05-10,2024-09-09,Completed,88.74
EP004662,E02082,P012,2025-06-06,2025-06-19,Completed,74.83
EP004663,E00160,P028,2024-08-08,,Enrolled,
EP004664,E01123,P013,2025-05-23,2025-06-27,Completed,82.21
EP004665,E03949,P037,2026-05-24,2026-07-13,Completed,84.71
EP004666,E01922,P040,2024-09-20,2024-10-08,Completed,80.78
EP004667,E02900,P012,2025-06-22,,Enrolled,
EP004668,E01454,P023,2025-07-17,2025-08-02,Completed,73.69
EP004669,E02369,P031,2026-07-13,,In Progress,
EP004670,E01189,P008,2024-08-07,2024-08-13,Completed,88.76
EP004671,E00653,P009,2024-10-05,,Enrolled,
EP004672,E04899,P033,2025-03-12,,Enrolled,
EP004673,E03878,P025,2024-11-22,,Withdrawn,
EP004674,E04383,P037,2026-05-13,,Enrolled,
EP004675,E04446,P021,2025-03-19,2025-03-24,Completed,73.99
EP004676,E00507,P026,2026-10-09,2026-10-25,Completed,73.64
EP004677,E03729,P028,2024-05-16,2024-09-18,Completed,90.85
EP004678,E01026,P010,2024-07-07,2024-08-06,Completed,87.61
EP004679,E03234,P007,2024-10-15,,Enrolled,
EP004680,E02769,P027,2025-02-16,,Enrolled,
EP004681,E00654,P020,2025-12-17,2025-12-23,Completed,86.42
EP004682,E02640,P007,2024-09-17,,Enrolled,
EP004683,E01883,P016,2024-10-02,2024-11-19,Completed,82.2
EP004684,E03988,P009,2024-11-11,,Enrolled,
EP004685,E04827,P006,2025-05-26,,Enrolled,
EP004686,E02465,P006,2025-05-26,2025-07-30,Completed,72.24
EP004687,E01084,P010,2024-08-01,2024-08-06,Completed,84.44
EP004688,E02713,P003,2025-11-09,,Enrolled,
EP004689,E04601,P032,2025-02-18,2025-04-06,Completed,100.0
EP004690,E01015,P001,2026-01-03,2026-02-14,Completed,77.09
EP004691,E01550,P020,2025-11-30,,Withdrawn,
EP004692,E02040,P023,2025-08-27,,Enrolled,
EP004693,E02348,P033,2025-02-15,2025-04-06,Completed,90.84
EP004694,E01265,P023,2025-05-24,,Enrolled,
EP004695,E02548,P023,2025-05-08,,Enrolled,
EP004696,E02623,P002,2024-09-29,,Withdrawn,
EP004697,E03147,P019,2026-01-04,,Enrolled,
EP004698,E02481,P030,2026-06-22,2026-08-11,Completed,85.05
EP004699,E04817,P030,2026-08-10,2026-08-12,Completed,80.73
EP004700,E01794,P023,2025-07-08,2025-08-14,Completed,74.32
EP004701,E00789,P033,2025-01-21,,Withdrawn,
EP004702,E02920,P022,2024-11-10,2024-12-22,Completed,85.23
EP004703,E03782,P011,2024-10-01,,Enrolled,
EP004704,E02219,P008,2024-07-13,2024-07-14,Completed,78.06
EP004705,E03987,P003,2025-11-21,,Enrolled,
EP004706,E03124,P030,2026-07-30,,Withdrawn,
EP004707,E00161,P013,2025-07-22,,Enrolled,
EP004708,E00084,P001,2026-01-15,2026-02-17,Completed,81.77
EP004709,E04601,P027,2024-12-15,,Enrolled,
EP004710,E02680,P026,2026-08-04,2026-09-15,Completed,85.81
EP004711,E02347,P021,2025-03-26,2025-03-28,Completed,72.55
EP004712,E01848,P022,2024-12-21,2025-01-10,Completed,82.41
EP004713,E02081,P036,2025-02-02,2025-02-05,Completed,78.82
EP004714,E02199,P016,2024-08-12,2024-09-25,Completed,88.88
EP004715,E03019,P014,2026-08-20,2026-09-05,Completed,85.78
EP004716,E00077,P033,2025-02-18,2025-03-30,Completed,74.46
EP004717,E01033,P010,2024-08-14,2024-08-16,Completed,91.45
EP004718,E04532,P010,2024-07-22,,Enrolled,
EP004719,E03985,P030,2026-06-22,,In Progress,
EP004720,E02106,P037,2026-06-22,,Enrolled,
EP004721,E04654,P028,2024-09-14,,Enrolled,
EP004722,E03059,P025,2024-08-12,2024-08-15,Completed,81.61
EP004723,E01957,P033,2025-02-25,2025-03-31,Completed,69.13
EP004724,E01546,P015,2025-02-28,,Enrolled,
EP004725,E04733,P021,2025-03-13,,Enrolled,
EP004726,E02804,P036,2024-11-25,2024-12-18,Completed,79.85
EP004727,E04141,P002,2024-07-22,,Enrolled,
EP004728,E04383,P027,2024-12-13,,Withdrawn,
EP004729,E04563,P038,2025-03-23,2025-06-10,Completed,63.74
EP004730,E02303,P013,2025-07-11,,Withdrawn,
EP004731,E02112,P020,2025-12-07,,Withdrawn,
EP004732,E00027,P014,2026-11-13,2026-12-07,Completed,88.08
EP004733,E00100,P001,2025-12-22,2026-01-15,Completed,90.51
EP004734,E02354,P022,2024-12-21,,Enrolled,
EP004735,E02412,P021,2025-01-04,2025-03-29,Completed,86.33
EP004736,E03359,P018,2026-07-01,,Enrolled,
EP004737,E02966,P003,2025-11-12,2025-12-01,Completed,95.99
EP004738,E03572,P011,2025-02-14,2025-02-14,Completed,80.66
EP004739,E02814,P012,2025-06-22,2025-07-04,Completed,75.56
EP004740,E00042,P025,2024-06-24,2024-07-29,Completed,75.54
EP004741,E04239,P005,2025-08-03,,Enrolled,
EP004742,E04887,P039,2026-05-01,2026-05-26,Completed,73.56
EP004743,E02617,P001,2026-01-10,2026-02-21,Completed,78.04
EP004744,E01138,P008,2024-08-12,,Enrolled,
EP004745,E04828,P010,2024-07-05,,Withdrawn,
EP004746,E04670,P021,2025-03-02,2025-03-26,Completed,89.44
EP004747,E03205,P021,2024-12-30,,Enrolled,
EP004748,E02085,P036,2025-02-06,2025-02-06,Completed,100.0
EP004749,E01229,P012,2025-06-06,2025-06-29,Completed,81.9
EP004750,E01904,P009,2024-08-12,,Enrolled,
EP004751,E04976,P005,2025-07-13,,Enrolled,
EP004752,E04113,P033,2025-02-09,2025-03-23,Completed,73.79
EP004753,E04863,P023,2025-06-07,2025-06-19,Completed,95.21
EP004754,E04515,P011,2024-11-03,2025-02-05,Completed,85.86
EP004755,E02452,P035,2024-08-18,2024-08-25,Completed,80.02
EP004756,E02330,P004,2025-11-03,2025-12-22,Completed,87.69
EP004757,E02896,P009,2024-07-02,,Withdrawn,
EP004758,E03616,P035,2024-09-23,2024-09-23,Completed,84.19
EP004759,E03030,P001,2026-01-14,2026-02-23,Completed,90.94
EP004760,E00284,P037,2026-07-09,,Withdrawn,
EP004761,E04346,P028,2024-05-15,,Enrolled,
EP004762,E02855,P015,2025-06-06,,Enrolled,
EP004763,E03318,P011,2025-01-19,,Enrolled,
EP004764,E02413,P034,2025-04-19,,Enrolled,
EP004765,E04220,P001,2025-11-20,2025-12-14,Completed,72.24
EP004766,E00675,P003,2025-11-15,2025-11-19,Completed,87.2
EP004767,E03050,P006,2025-04-13,2025-05-20,Completed,96.05
EP004768,E01491,P015,2025-02-26,2025-06-03,Completed,77.26
EP004769,E02954,P009,2024-11-29,,Enrolled,
EP004770,E04329,P001,2026-02-21,,Enrolled,
EP004771,E02737,P009,2024-12-12,2024-12-31,Completed,82.71
EP004772,E04439,P010,2024-08-11,,Withdrawn,
EP004773,E02688,P036,2025-01-08,2025-01-25,Completed,98.0
EP004774,E00866,P007,2024-09-28,2024-09-30,Completed,91.68
EP004775,E02063,P009,2024-09-23,2024-10-16,Completed,77.81
EP004776,E01135,P001,2025-11-19,2025-12-04,Completed,76.69
EP004777,E02945,P016,2024-10-15,2024-10-28,Completed,85.05
EP004778,E02557,P013,2025-06-13,,Enrolled,
EP004779,E02079,P033,2025-01-23,2025-03-04,Completed,85.45
EP004780,E03853,P020,2025-09-27,2025-10-31,Completed,87.65
EP004781,E03500,P011,2024-09-16,2024-10-22,Completed,82.01
EP004782,E04085,P010,2024-08-06,2024-08-14,Completed,85.67
EP004783,E02298,P036,2024-11-28,2025-01-19,Completed,90.19
EP004784,E00898,P032,2024-12-12,2025-03-24,Completed,78.82
EP004785,E04369,P006,2025-06-03,,Withdrawn,
EP004786,E02230,P012,2025-06-27,2025-07-03,Completed,90.51
EP004787,E01335,P015,2025-04-19,2025-05-08,Completed,78.5
EP004788,E00632,P035,2024-08-02,2024-08-10,Completed,66.32
EP004789,E02657,P006,2025-05-27,2025-06-04,Completed,91.73
EP004790,E01983,P033,2025-02-23,2025-03-18,Completed,80.36
EP004791,E00006,P004,2025-10-27,,Enrolled,
EP004792,E03601,P033,2025-01-16,,Enrolled,
EP004793,E02563,P018,2026-05-09,,Enrolled,
EP004794,E03958,P001,2025-11-28,,Enrolled,
EP004795,E00396,P003,2025-11-29,2025-12-05,Completed,85.82
EP004796,E02257,P031,2026-07-11,2026-08-01,Completed,82.36
EP004797,E03198,P011,2024-12-02,2025-01-13,Completed,80.01
EP004798,E04921,P001,2025-12-22,2026-01-17,Completed,70.19
EP004799,E02591,P001,2025-11-15,2026-01-24,Completed,80.26
EP004800,E02609,P011,2024-09-13,,Enrolled,
EP004801,E00549,P039,2026-04-14,2026-05-04,Completed,74.39
EP004802,E00996,P013,2025-07-06,,Withdrawn,
EP004803,E02681,P002,2024-10-31,,Enrolled,
EP004804,E02784,P009,2024-12-10,2024-12-28,Completed,71.23
EP004805,E02065,P023,2025-07-23,2025-07-24,Completed,82.45
EP004806,E02062,P032,2025-04-10,2025-05-16,Completed,84.38
EP004807,E04093,P036,2025-01-30,2025-02-04,Completed,76.44
EP004808,E01116,P007,2024-08-19,2024-09-17,Completed,91.45
EP004809,E00733,P012,2025-06-10,2025-06-19,Completed,86.28
EP004810,E00450,P014,2026-12-06,2026-12-09,Completed,82.58
EP004811,E03435,P034,2025-08-20,2025-09-14,Completed,85.98
EP004812,E04382,P017,2024-06-14,2024-06-24,Completed,67.29
EP004813,E02520,P025,2024-10-07,,Enrolled,
EP004814,E00547,P016,2024-09-05,,Enrolled,
EP004815,E01720,P020,2025-12-27,,Enrolled,
EP004816,E00773,P016,2024-09-21,2024-09-27,Completed,86.75
EP004817,E04723,P013,2025-05-30,,Enrolled,
EP004818,E03092,P011,2025-02-25,,Enrolled,
EP004819,E01476,P015,2025-04-29,,Enrolled,
EP004820,E04456,P009,2024-08-20,2024-09-17,Completed,100.0
EP004821,E03025,P017,2024-06-16,,Withdrawn,
EP004822,E03338,P008,2024-08-31,,Withdrawn,
EP004823,E02097,P022,2024-12-13,2024-12-23,Completed,72.74
EP004824,E02326,P030,2026-07-25,,In Progress,
EP004825,E04684,P015,2025-04-14,2025-06-16,Completed,89.01
EP004826,E02300,P005,2025-07-19,,Enrolled,
EP004827,E00251,P017,2024-06-23,,Enrolled,
EP004828,E03343,P036,2024-11-27,2024-12-03,Completed,85.32
EP004829,E03109,P018,2026-04-04,,Enrolled,
EP004830,E00782,P030,2026-07-05,,Withdrawn,
EP004831,E00402,P014,2026-10-18,,In Progress,
EP004832,E00047,P009,2024-08-11,,Enrolled,
EP004833,E03066,P036,2025-02-02,,Enrolled,
EP004834,E03738,P038,2025-04-17,2025-06-12,Completed,100.0
EP004835,E00592,P032,2025-03-01,2025-03-19,Completed,96.3
EP004836,E03832,P015,2025-04-06,,Enrolled,
EP004837,E01524,P022,2025-01-12,2025-01-12,Completed,70.07
EP004838,E02376,P016,2024-11-26,,Withdrawn,
EP004839,E04120,P036,2025-01-23,,Enrolled,
EP004840,E00915,P025,2024-07-07,,Withdrawn,
EP004841,E00477,P014,2026-12-25,2026-12-27,Completed,81.24
EP004842,E00437,P021,2025-03-12,2025-03-19,Completed,78.66
EP004843,E00431,P002,2024-11-23,2024-12-16,Completed,89.25
EP004844,E01648,P023,2025-06-16,,Enrolled,
EP004845,E03051,P030,2026-06-15,2026-08-12,Completed,60.47
EP004846,E02866,P020,2025-11-27,2026-01-17,Completed,74.14
EP004847,E04548,P012,2025-04-22,,Enrolled,
EP004848,E04465,P016,2024-11-22,2024-12-02,Completed,74.87
EP004849,E03801,P037,2026-05-22,2026-07-26,Completed,73.13
EP004850,E02054,P028,2024-07-14,,Withdrawn,
EP004851,E01123,P029,2026-01-02,2026-02-08,Completed,79.24
EP004852,E02712,P016,2024-12-07,,Enrolled,
EP004853,E01762,P029,2026-04-11,,Withdrawn,
EP004854,E01850,P021,2025-02-13,2025-03-03,Completed,93.03
EP004855,E03752,P022,2024-12-29,,Enrolled,
EP004856,E02521,P005,2025-06-06,2025-07-14,Completed,76.6
EP004857,E02933,P013,2025-07-01,2025-08-01,Completed,75.95
EP004858,E02399,P021,2025-03-29,2025-03-29,Completed,76.23
EP004859,E04185,P036,2025-01-22,2025-01-30,Completed,95.22
EP004860,E00095,P018,2026-07-19,2026-07-19,Completed,94.12
EP004861,E00906,P038,2025-06-19,2025-06-26,Completed,89.79
EP004862,E02523,P031,2026-06-30,,In Progress,
EP004863,E02613,P001,2025-11-21,2026-02-10,Completed,80.2
EP004864,E00295,P012,2025-05-03,2025-05-25,Completed,90.5
EP004865,E02913,P009,2024-10-15,2024-11-24,Completed,60.13
EP004866,E04635,P017,2024-04-04,2024-05-10,Completed,92.55
EP004867,E00737,P009,2024-08-15,,Withdrawn,
EP004868,E01165,P015,2025-03-19,,Withdrawn,
EP004869,E04878,P026,2026-10-23,,In Progress,
EP004870,E00428,P024,2025-02-18,2025-03-21,Completed,87.24
EP004871,E03608,P006,2025-08-18,2025-08-18,Completed,73.7
EP004872,E00273,P008,2024-08-11,2024-08-28,Completed,75.55
EP004873,E04030,P039,2026-05-15,2026-06-02,Completed,66.18
EP004874,E04952,P009,2024-09-08,2024-12-08,Completed,71.62
EP004875,E04814,P025,2024-09-06,2024-09-20,Completed,76.08
EP004876,E03227,P037,2026-06-23,2026-07-24,Completed,73.26
EP004877,E00714,P012,2025-05-29,2025-07-05,Completed,71.71
EP004878,E04922,P008,2024-08-08,2024-08-10,Completed,60.86
EP004879,E01620,P002,2024-11-05,2024-12-12,Completed,91.26
EP004880,E03884,P040,2025-01-07,2025-01-28,Completed,91.85
EP004881,E03293,P032,2025-03-25,,Enrolled,
EP004882,E03391,P007,2024-08-24,2024-10-16,Completed,95.29
EP004883,E04336,P012,2025-05-18,2025-06-25,Completed,92.41
EP004884,E00930,P030,2026-07-21,,In Progress,
EP004885,E02391,P038,2025-06-08,2025-06-09,Completed,83.86
EP004886,E01067,P024,2025-02-25,,Enrolled,
EP004887,E01028,P001,2025-11-26,,Withdrawn,
EP004888,E04469,P004,2025-10-17,,Enrolled,
EP004889,E00730,P034,2025-05-16,,Withdrawn,
EP004890,E04681,P038,2025-06-18,2025-06-21,Completed,93.66
EP004891,E01635,P001,2025-12-02,2026-01-19,Completed,100.0
EP004892,E01064,P017,2024-03-01,2024-03-30,Completed,89.64
EP004893,E03656,P027,2025-01-26,2025-02-10,Completed,82.46
EP004894,E03549,P012,2025-07-02,,Enrolled,
EP004895,E00167,P026,2026-07-25,,In Progress,
EP004896,E01215,P019,2026-03-22,,Enrolled,
EP004897,E04333,P011,2025-03-12,2025-03-25,Completed,73.24
EP004898,E04452,P003,2025-10-18,,Enrolled,
EP004899,E00349,P024,2025-03-21,2025-03-21,Completed,90.73
EP004900,E01609,P033,2025-03-25,2025-04-02,Completed,93.18
EP004901,E04453,P023,2025-08-30,2025-09-03,Completed,77.6
EP004902,E03544,P026,2026-10-16,,In Progress,
EP004903,E03872,P008,2024-10-12,2024-10-21,Completed,98.21
EP004904,E02394,P009,2024-07-14,2024-12-07,Completed,82.28
EP004905,E03386,P019,2026-04-13,,Enrolled,
EP004906,E01591,P018,2026-04-18,2026-05-16,Completed,95.69
EP004907,E03217,P009,2024-08-21,2024-11-07,Completed,96.37
EP004908,E01410,P006,2025-04-14,,Enrolled,
EP004909,E02616,P028,2024-09-09,2024-09-16,Completed,87.31
EP004910,E04660,P030,2026-08-13,,Withdrawn,
EP004911,E01756,P028,2024-09-01,,Enrolled,
EP004912,E03669,P022,2024-12-12,2025-01-04,Completed,89.84
EP004913,E00374,P022,2024-11-13,2024-12-22,Completed,86.51
EP004914,E00901,P034,2025-06-08,,Withdrawn,
EP004915,E04156,P007,2024-08-31,2024-08-31,Completed,86.95
EP004916,E04785,P008,2024-09-05,2024-10-06,Completed,89.25
EP004917,E01119,P034,2025-04-02,2025-09-04,Completed,77.72
EP004918,E02339,P003,2025-11-21,,Enrolled,
EP004919,E04503,P029,2026-02-26,2026-04-10,Completed,92.17
EP004920,E02885,P040,2025-02-21,2025-02-28,Completed,78.47
EP004921,E00034,P012,2025-05-06,2025-06-26,Completed,76.77
EP004922,E04244,P011,2025-02-26,,Enrolled,
EP004923,E00182,P018,2026-05-26,,Enrolled,
EP004924,E00409,P022,2024-11-19,,Enrolled,
EP004925,E01547,P009,2024-07-08,,Enrolled,
EP004926,E01436,P018,2026-04-26,2026-06-08,Completed,82.96
EP004927,E00876,P025,2024-09-24,2024-09-26,Completed,71.39
EP004928,E02445,P031,2026-07-14,2026-08-17,Completed,63.3
EP004929,E00134,P003,2025-09-28,,Enrolled,
EP004930,E03177,P029,2026-01-10,,Enrolled,
EP004931,E02979,P015,2025-04-11,,Enrolled,
EP004932,E01935,P016,2024-10-11,,Enrolled,
EP004933,E02965,P037,2026-06-23,2026-07-28,Completed,73.74
EP004934,E02628,P008,2024-06-11,2024-08-23,Completed,88.58
EP004935,E00323,P015,2025-03-20,2025-03-27,Completed,84.01
EP004936,E02456,P015,2025-06-06,2025-06-12,Completed,86.98
EP004937,E02283,P018,2026-04-24,,Withdrawn,
EP004938,E04286,P038,2025-06-10,2025-06-26,Completed,91.06
EP004939,E02604,P016,2024-10-31,2024-11-24,Completed,88.01
EP004940,E01128,P016,2024-11-23,2024-12-01,Completed,80.88
EP004941,E00674,P008,2024-09-27,,Enrolled,
EP004942,E04820,P017,2024-03-01,,Enrolled,
EP004943,E01210,P020,2025-11-15,2025-12-18,Completed,75.84
EP004944,E03569,P037,2026-07-21,,Withdrawn,
EP004945,E03774,P008,2024-09-05,,Enrolled,
EP004946,E01086,P013,2025-06-28,2025-07-16,Completed,81.22
EP004947,E02438,P025,2024-09-13,2024-09-27,Completed,66.29
EP004948,E01682,P036,2024-12-25,2025-01-15,Completed,81.25
EP004949,E04230,P023,2025-05-13,2025-06-22,Completed,83.83
EP004950,E01202,P017,2024-03-23,,Enrolled,
EP004951,E00884,P023,2025-05-05,2025-06-20,Completed,92.12
EP004952,E04010,P028,2024-08-25,2024-09-14,Completed,100.0
EP004953,E03977,P013,2025-07-09,2025-07-19,Completed,72.14
EP004954,E00041,P006,2025-05-30,,Enrolled,
EP004955,E00680,P032,2025-02-28,2025-03-07,Completed,80.07
EP004956,E04886,P008,2024-11-05,2024-11-08,Completed,87.29
EP004957,E01915,P029,2026-04-09,,Withdrawn,
EP004958,E02732,P037,2026-07-25,2026-07-28,Completed,86.58
EP004959,E04679,P004,2025-11-27,2026-02-02,Completed,97.3
EP004960,E04967,P040,2024-12-20,2025-02-07,Completed,89.05
EP004961,E00041,P021,2025-03-29,,Enrolled,
EP004962,E00582,P018,2026-05-12,2026-06-17,Completed,79.83
EP004963,E00422,P017,2024-03-26,2024-07-06,Completed,81.74
EP004964,E03146,P025,2024-08-06,,Enrolled,
EP004965,E01075,P020,2025-12-04,2025-12-18,Completed,88.76
EP004966,E00727,P035,2024-08-24,2024-09-15,Completed,75.29
EP004967,E01242,P020,2026-01-05,2026-01-22,Completed,87.67
EP004968,E00486,P020,2025-12-09,,Enrolled,
EP004969,E01482,P033,2025-01-13,2025-04-05,Completed,77.42
EP004970,E04708,P023,2025-07-04,2025-07-07,Completed,94.45
EP004971,E02222,P026,2026-08-02,2026-10-25,Completed,87.9
EP004972,E01091,P033,2025-02-23,2025-03-20,Completed,74.08
EP004973,E00573,P030,2026-06-19,,In Progress,
EP004974,E03120,P009,2024-08-14,2024-10-09,Completed,78.48
EP004975,E03403,P004,2025-11-11,,Enrolled,
EP004976,E04212,P024,2025-02-13,2025-03-17,Completed,73.61
EP004977,E03421,P021,2025-03-30,2025-03-30,Completed,80.7
EP004978,E04841,P037,2026-07-07,,Enrolled,
EP004979,E02115,P040,2024-09-18,,Withdrawn,
EP004980,E03578,P023,2025-06-28,2025-07-20,Completed,88.12
EP004981,E03333,P040,2024-10-01,2025-01-16,Completed,84.54
EP004982,E00391,P031,2026-08-16,2026-08-19,Completed,79.4
EP004983,E00306,P013,2025-05-21,2025-05-28,Completed,77.94
EP004984,E03763,P030,2026-05-30,2026-08-16,Completed,76.15
EP004985,E01447,P033,2025-02-17,,Enrolled,
EP004986,E01276,P032,2025-02-12,2025-03-23,Completed,87.92
EP004987,E02255,P039,2026-05-20,,Withdrawn,
EP004988,E00895,P025,2024-07-11,,Enrolled,
EP004989,E02132,P007,2024-08-29,,Withdrawn,
EP004990,E02988,P022,2025-01-15,2025-01-19,Completed,83.54
EP004991,E03741,P013,2025-06-08,2025-06-13,Completed,65.88
EP004992,E02574,P021,2025-01-10,,Withdrawn,
EP004993,E01313,P008,2024-07-12,2024-10-03,Completed,66.33
EP004994,E00723,P001,2026-02-10,2026-02-13,Completed,83.74
EP004995,E01891,P001,2025-11-27,2026-02-19,Completed,78.84
EP004996,E02004,P010,2024-07-09,2024-07-09,Completed,95.87
EP004997,E02820,P027,2025-01-17,,Enrolled,
EP004998,E04994,P028,2024-06-28,,Enrolled,
EP004999,E01684,P025,2024-11-12,2024-12-04,Completed,75.87
EP005000,E03552,P029,2026-05-03,,Withdrawn,
EP005001,E02323,P039,2026-03-18,2026-04-12,Completed,85.79
EP005002,E04500,P029,2026-03-11,2026-04-02,Completed,79.15
EP005003,E02437,P030,2026-06-15,2026-08-13,Completed,77.9
EP005004,E03181,P033,2025-01-25,2025-03-02,Completed,80.58
EP005005,E00909,P038,2025-05-01,,Enrolled,
EP005006,E01896,P012,2025-06-21,2025-07-01,Completed,88.9
EP005007,E01578,P031,2026-08-16,2026-08-23,Completed,90.2
EP005008,E02682,P020,2025-12-29,,Enrolled,
EP005009,E04716,P015,2025-05-26,,Enrolled,
EP005010,E02083,P039,2026-05-23,2026-05-23,Completed,76.18
EP005011,E00927,P038,2025-06-29,,Enrolled,
EP005012,E02851,P007,2024-08-11,2024-09-06,Completed,96.53
EP005013,E00985,P010,2024-07-28,,Enrolled,
EP005014,E03563,P024,2025-03-29,,Enrolled,
EP005015,E02879,P005,2025-04-27,2025-06-28,Completed,93.37
EP005016,E01982,P035,2024-08-03,2024-09-17,Completed,96.79
EP005017,E04045,P018,2026-05-23,2026-07-15,Completed,85.58
EP005018,E01656,P036,2025-01-07,,Enrolled,
EP005019,E04879,P001,2026-02-05,,Enrolled,
EP005020,E01173,P024,2025-01-20,,Enrolled,
EP005021,E02109,P037,2026-07-21,2026-07-24,Completed,91.32
EP005022,E00474,P019,2025-11-24,,Enrolled,
EP005023,E02813,P040,2024-09-14,,Enrolled,
EP005024,E01909,P029,2026-05-16,2026-06-02,Completed,89.28
EP005025,E01714,P012,2025-05-05,2025-05-27,Completed,91.59
EP005026,E00645,P015,2025-04-24,,Enrolled,
EP005027,E01953,P038,2025-05-12,2025-06-13,Completed,88.0
EP005028,E01357,P037,2026-06-21,2026-06-30,Completed,75.12
EP005029,E02408,P013,2025-06-13,2025-07-16,Completed,90.65
EP005030,E02875,P027,2024-11-25,,Enrolled,
EP005031,E00517,P023,2025-05-11,2025-05-12,Completed,95.58
EP005032,E02744,P031,2026-07-14,,In Progress,
EP005033,E03339,P035,2024-09-19,2024-09-19,Completed,91.76
EP005034,E04002,P033,2025-01-28,2025-03-12,Completed,68.12
EP005035,E04601,P021,2025-03-06,2025-03-26,Completed,100.0
EP005036,E04482,P012,2025-07-05,2025-07-05,Completed,78.86
EP005037,E03005,P017,2024-05-28,2024-06-20,Completed,97.89
EP005038,E00361,P006,2025-05-06,,Enrolled,
EP005039,E04196,P010,2024-07-03,2024-07-21,Completed,87.67
EP005040,E04437,P017,2024-06-15,2024-07-07,Completed,83.12
EP005041,E04313,P029,2026-03-16,2026-03-19,Completed,97.89
EP005042,E01347,P015,2025-03-07,,Enrolled,
EP005043,E01333,P022,2024-11-13,2024-12-07,Completed,100.0
EP005044,E02592,P032,2024-12-26,2025-02-07,Completed,79.24
EP005045,E04931,P014,2026-12-22,2026-12-29,Completed,72.48
EP005046,E01507,P036,2025-01-16,2025-02-04,Completed,84.45
EP005047,E04132,P026,2026-07-20,2026-09-01,Completed,100.0
EP005048,E04891,P025,2024-11-26,2024-12-05,Completed,69.6
EP005049,E02869,P036,2024-12-06,2025-01-16,Completed,93.54
EP005050,E00051,P036,2025-01-21,,Withdrawn,
EP005051,E03672,P022,2024-12-12,2025-01-06,Completed,89.81
EP005052,E01270,P035,2024-08-10,2024-08-11,Completed,90.52
EP005053,E03403,P016,2024-09-18,2024-10-05,Completed,83.13
EP005054,E04349,P009,2024-10-12,,Enrolled,
EP005055,E01915,P015,2025-05-20,2025-05-21,Completed,73.06
EP005056,E00026,P011,2025-02-20,,Enrolled,
EP005057,E03252,P025,2024-11-14,,Enrolled,
EP005058,E04447,P020,2025-10-13,2025-11-03,Completed,93.4
EP005059,E00066,P015,2025-03-18,,Withdrawn,
EP005060,E02833,P040,2025-02-11,,Enrolled,
EP005061,E03883,P006,2025-08-13,2025-08-15,Completed,70.79
EP005062,E01408,P004,2025-12-11,,Enrolled,
EP005063,E00261,P022,2025-01-15,2025-01-19,Completed,79.97
EP005064,E00468,P030,2026-07-01,2026-08-19,Completed,100.0
EP005065,E04565,P037,2026-06-26,2026-07-09,Completed,92.66
EP005066,E02702,P035,2024-07-07,2024-08-05,Completed,77.73
EP005067,E01367,P004,2025-12-22,,Enrolled,
EP005068,E00544,P037,2026-05-19,,Enrolled,
EP005069,E04173,P001,2025-12-26,2026-02-18,Completed,100.0
EP005070,E03823,P031,2026-07-31,2026-08-02,Completed,78.73
EP005071,E00423,P030,2026-08-13,2026-08-18,Completed,78.94
EP005072,E02447,P023,2025-06-01,,Enrolled,
EP005073,E03848,P029,2026-03-08,,Withdrawn,
EP005074,E02588,P016,2024-09-09,2024-12-18,Completed,85.89
EP005075,E00676,P028,2024-04-17,,Enrolled,
EP005076,E01296,P024,2025-02-12,,Enrolled,
EP005077,E03308,P035,2024-07-07,,Withdrawn,
EP005078,E03575,P005,2025-06-06,2025-07-05,Completed,85.27
EP005079,E03206,P038,2025-04-20,2025-06-27,Completed,91.12
EP005080,E03800,P012,2025-07-03,2025-07-03,Completed,70.69
EP005081,E03299,P023,2025-06-02,,Enrolled,
EP005082,E02315,P029,2026-04-26,2026-05-07,Completed,85.83
EP005083,E02626,P039,2026-04-23,,Enrolled,
EP005084,E00343,P007,2024-08-27,,Enrolled,
EP005085,E04149,P020,2025-12-15,2025-12-28,Completed,78.06
EP005086,E01597,P033,2025-02-18,2025-04-01,Completed,80.89
EP005087,E03558,P012,2025-04-20,2025-05-14,Completed,98.16
EP005088,E03029,P005,2025-06-13,2025-06-17,Completed,81.53
EP005089,E03857,P037,2026-07-02,,Enrolled,
EP005090,E00972,P026,2026-09-16,2026-10-12,Completed,72.96
EP005091,E02801,P018,2026-05-29,2026-07-04,Completed,72.23
EP005092,E02910,P014,2026-12-02,,In Progress,
EP005093,E02714,P025,2024-10-19,,Enrolled,
EP005094,E01054,P009,2024-10-11,2024-12-20,Completed,75.23
EP005095,E04490,P024,2025-02-06,2025-04-26,Completed,74.86
EP005096,E01922,P027,2024-12-07,2025-02-08,Completed,74.7
EP005097,E03631,P021,2025-03-05,2025-03-22,Completed,78.96
EP005098,E00765,P017,2024-03-14,2024-03-30,Completed,85.42
